Data,Zamkniecie,logprices,logrates
6/15/2018,1715.97,3.234509691,-0.001992302
6/18/2018,1723.79,3.236484357,0.001974666
6/19/2018,1734.78,3.239244407,0.00276005
6/20/2018,1750.08,3.243057902,0.003813495
6/21/2018,1730.22,3.238101328,-0.004956574
6/22/2018,1715.67,3.234433757,-0.003667571
6/25/2018,1663.15,3.22093142,-0.013502337
6/26/2018,1691.09,3.228166721,0.007235301
6/27/2018,1660.51,3.220241495,-0.007925226
6/28/2018,1701.45,3.230819191,0.010577696
6/29/2018,1699.8,3.230397825,-0.000421366
7/2/2018,1713.78,3.23395507,0.003557245
7/3/2018,1693.96,3.228903151,-0.005051919
7/5/2018,1699.73,3.23037994,0.001476789
7/6/2018,1710.63,3.233156084,0.002776144
7/9/2018,1739.02,3.240304577,0.007148493
7/10/2018,1743.07,3.241314828,0.001010252
7/11/2018,1755,3.244277121,0.002962292
7/12/2018,1796.62,3.25445623,0.010179109
7/13/2018,1813.03,3.25840499,0.00394876
7/16/2018,1822.49,3.260665154,0.002260164
7/17/2018,1843.93,3.26574443,0.005079276
7/18/2018,1842.92,3.265506483,-0.000237947
7/19/2018,1812.97,3.258390618,-0.007115865
7/20/2018,1813.7,3.258565453,0.000174835
7/23/2018,1802,3.255754787,-0.002810666
7/24/2018,1829.24,3.26227069,0.006515903
7/25/2018,1863.61,3.270355032,0.008084343
7/26/2018,1808,3.257198426,-0.013156606
7/27/2018,1817.27,3.259419457,0.002221031
7/30/2018,1779.22,3.250229652,-0.009189805
7/31/2018,1777.44,3.249794949,-0.000434702
8/1/2018,1797.17,3.25458916,0.004794211
8/2/2018,1834.33,3.263477469,0.008888309
8/3/2018,1823.29,3.26085575,-0.002621719
8/6/2018,1847.75,3.266643211,0.005787461
8/7/2018,1862.48,3.270091618,0.003448407
8/8/2018,1886.52,3.275661414,0.005569796
8/9/2018,1898.52,3.278415177,0.002753763
8/10/2018,1886.3,3.275610765,-0.002804412
8/13/2018,1896.2,3.277884142,0.002273377
8/14/2018,1919.65,3.283222053,0.005337911
8/15/2018,1882.62,3.274762668,-0.008459385
8/16/2018,1886.52,3.275661414,0.000898746
8/17/2018,1882.22,3.274670384,-0.00099103
8/20/2018,1876.71,3.273397168,-0.001273216
8/21/2018,1883.42,3.274947178,0.00155001
8/22/2018,1904.9,3.279872182,0.004925004
8/23/2018,1902.9,3.279415966,-0.000456216
8/24/2018,1905.39,3.279983882,0.000567915
8/27/2018,1927.68,3.285034942,0.00505106
8/28/2018,1932.82,3.286191411,0.001156469
8/29/2018,1998.1,3.30061722,0.014425809
8/30/2018,2002.38,3.301546499,0.000929279
8/31/2018,2012.71,3.303781204,0.002234706
9/4/2018,2039.51,3.309525839,0.005744635
9/5/2018,1994.82,3.299903714,-0.009622125
9/6/2018,1958.31,3.291881442,-0.008022272
9/7/2018,1952.07,3.290495387,-0.001386054
9/10/2018,1939.01,3.287580049,-0.002915338
9/11/2018,1987.15,3.298230651,0.010650602
9/12/2018,1990,3.298853076,0.000622425
9/13/2018,1989.87,3.298824704,-2.83719E-05
9/14/2018,1970.19,3.29450811,-0.004316594
9/17/2018,1908.03,3.280585199,-0.013922912
9/18/2018,1941.05,3.288036723,0.007451524
9/19/2018,1926.42,3.284750978,-0.003285744
9/20/2018,1944.3,3.288763276,0.004012298
9/21/2018,1915.01,3.282171046,-0.00659223
9/24/2018,1934.36,3.286537303,0.004366257
9/25/2018,1974.55,3.295468136,0.008930833
9/26/2018,1974.85,3.295534114,6.59788E-05
9/27/2018,2012.98,3.30383946,0.008305346
9/28/2018,2003,3.301680949,-0.002158511
10/1/2018,2004.36,3.301975727,0.000294778
10/2/2018,1971.31,3.294754925,-0.007220802
10/3/2018,1952.76,3.29064887,-0.004106055
10/4/2018,1909.42,3.280901467,-0.009747403
10/5/2018,1889.65,3.276381372,-0.004520095
10/8/2018,1864.42,3.270543753,-0.005837619
10/9/2018,1870.32,3.271915918,0.001372165
10/10/2018,1755.25,3.244338982,-0.027576936
10/11/2018,1719.36,3.235366819,-0.008972163
10/12/2018,1788.61,3.252515655,0.017148836
10/15/2018,1760.95,3.245747025,-0.00676863
10/16/2018,1819.96,3.260061843,0.014314818
10/17/2018,1831.73,3.262861458,0.002799615
10/18/2018,1770.72,3.248149893,-0.014711566
10/19/2018,1764.03,3.246505967,-0.001643926
10/22/2018,1789.3,3.252683162,0.006177195
10/23/2018,1768.7,3.247654176,-0.005028986
10/24/2018,1664.2,3.221205518,-0.026448658
10/25/2018,1782.17,3.250949129,0.029743611
10/26/2018,1642.81,3.215587338,-0.035361791
10/29/2018,1538.88,3.187204755,-0.028382582
10/30/2018,1530.42,3.184810633,-0.002394123
10/31/2018,1598.01,3.203579493,0.01876886
11/1/2018,1665.53,3.22155246,0.017972967
11/2/2018,1665.53,3.22155246,0
11/5/2018,1627.8,3.211601044,-0.009951416
11/6/2018,1642.81,3.215587338,0.003986294
11/7/2018,1755.49,3.24439836,0.028811022
11/8/2018,1754.91,3.244254849,-0.000143511
11/9/2018,1712.43,3.233612828,-0.010642021
11/12/2018,1636.85,3.214008883,-0.019603945
11/13/2018,1631.17,3.212499225,-0.001509657
11/14/2018,1599.01,3.20385118,-0.008648046
11/15/2018,1619.44,3.209364862,0.005513682
11/16/2018,1593.41,3.202327538,-0.007037324
11/19/2018,1512.29,3.17963508,-0.022692458
11/20/2018,1495.46,3.174774801,-0.004860279
11/21/2018,1516.73,3.180908277,0.006133476
11/23/2018,1502.06,3.176687281,-0.004220996
11/26/2018,1581.33,3.19902251,0.022335229
11/27/2018,1581.42,3.199047227,2.47168E-05
11/28/2018,1677.75,3.224727247,0.025680021
11/29/2018,1673.57,3.223643882,-0.001083365
11/30/2018,1690.17,3.227930389,0.004286507
12/3/2018,1772.36,3.24855194,0.020621551
12/4/2018,1668.4,3.222300181,-0.026251759
12/6/2018,1699.19,3.230241944,0.007941762
12/7/2018,1629.13,3.211955741,-0.018286202
12/10/2018,1641.03,3.215116521,0.003160779
12/11/2018,1643.24,3.215700998,0.000584477
12/12/2018,1663.54,3.221033248,0.00533225
12/13/2018,1658.38,3.219684052,-0.001349196
12/14/2018,1591.91,3.201918511,-0.017765541
12/17/2018,1520.91,3.182103515,-0.019814995
12/18/2018,1551.48,3.190746182,0.008642666
12/19/2018,1495.08,3.174664432,-0.01608175
12/20/2018,1460.83,3.164599679,-0.010064753
12/21/2018,1377.45,3.139075843,-0.025523836
12/24/2018,1343.96,3.128386343,-0.0106895
12/26/2018,1470.9,3.167583148,0.039196805
12/27/2018,1461.64,3.16484042,-0.002742728
12/28/2018,1478.02,3.169680311,0.004839891
12/31/2018,1501.97,3.176661258,0.006980947
1/2/2019,1539.13,3.187275303,0.010614045
1/3/2019,1500.28,3.17617232,-0.011102984
1/4/2019,1575.39,3.197388084,0.021215765
1/7/2019,1629.51,3.21205703,0.014668946
1/8/2019,1656.58,3.219212414,0.007155384
1/9/2019,1659.42,3.21995632,0.000743906
1/10/2019,1656.22,3.219118025,-0.000838295
1/11/2019,1640.56,3.214992118,-0.004125906
1/14/2019,1617.21,3.208766418,-0.0062257
1/15/2019,1674.56,3.223900713,0.015134295
1/16/2019,1683.78,3.226285347,0.002384634
1/17/2019,1693.22,3.22871339,0.002428043
1/18/2019,1696.2,3.229477059,0.000763669
1/22/2019,1632.17,3.212765391,-0.016711668
1/23/2019,1640.02,3.214849144,0.002083753
1/24/2019,1654.93,3.218779629,0.003930484
1/25/2019,1670.57,3.222864678,0.004085049
1/28/2019,1637.89,3.214284731,-0.008579947
1/29/2019,1593.88,3.202455621,-0.01182911
1/30/2019,1670.43,3.222828281,0.02037266
1/31/2019,1718.73,3.235207658,0.012379376
2/1/2019,1626.23,3.211181968,-0.024025689
2/4/2019,1633.31,3.213068621,0.001886653
2/5/2019,1658.81,3.219796645,0.006728024
2/6/2019,1640.26,3.214912694,-0.004883951
2/7/2019,1614.37,3.208003078,-0.006909616
2/8/2019,1588.22,3.200910661,-0.007092418
2/11/2019,1591,3.20167018,0.000759519
2/12/2019,1638.01,3.214316549,0.012646369
2/13/2019,1640,3.214843848,0.000527299
2/14/2019,1622.65,3.210224854,-0.004618994
2/15/2019,1607.95,3.20627254,-0.003952314
2/19/2019,1627.58,3.211542345,0.005269805
2/20/2019,1622.1,3.210077624,-0.00146472
2/21/2019,1619.44,3.209364862,-0.000712762
2/22/2019,1631.56,3.212603049,0.003238187
2/25/2019,1633,3.212986185,0.000383135
2/26/2019,1636.4,3.213889471,0.000903286
2/27/2019,1641.09,3.215132399,0.001242928
2/28/2019,1639.83,3.214798827,-0.000333572
3/1/2019,1671.73,3.223166136,0.008367309
3/4/2019,1696.17,3.229469378,0.006303241
3/5/2019,1692.43,3.228510715,-0.000958663
3/6/2019,1668.95,3.222443326,-0.006067389
3/7/2019,1625.95,3.211107186,-0.01133614
3/8/2019,1620.8,3.209729428,-0.001377758
3/11/2019,1670.62,3.222877676,0.013148248
3/12/2019,1673.1,3.223521899,0.000644223
3/13/2019,1690.81,3.228094808,0.004572909
3/14/2019,1686.22,3.226914236,-0.001180572
3/15/2019,1712.36,3.233595074,0.006680838
3/18/2019,1742.15,3.241085545,0.007490471
3/19/2019,1761.85,3.245968931,0.004883386
3/20/2019,1797.27,3.254613325,0.008644394
3/21/2019,1819.26,3.259894771,0.005281446
3/22/2019,1764.77,3.246688112,-0.013206658
3/25/2019,1774.26,3.249017262,0.002329149
3/26/2019,1783.76,3.251336421,0.002319159
3/27/2019,1765.7,3.246916917,-0.004419504
3/28/2019,1773.42,3.248811602,0.001894685
3/29/2019,1780.75,3.250602953,0.001791351
4/1/2019,1814.19,3.258682769,0.008079816
4/2/2019,1813.98,3.258632494,-5.02743E-05
4/3/2019,1820.7,3.260238392,0.001605898
4/4/2019,1818.86,3.259799272,-0.00043912
4/5/2019,1837.28,3.264175347,0.004376075
4/8/2019,1849.86,3.267138862,0.002963514
4/9/2019,1835.84,3.263834828,-0.003304033
4/10/2019,1847.33,3.266544483,0.002709655
4/11/2019,1844.07,3.265777403,-0.00076708
4/12/2019,1843.06,3.265539474,-0.000237929
4/15/2019,1844.87,3.265965769,0.000426295
4/16/2019,1863.04,3.270222179,0.004256411
4/17/2019,1864.82,3.270636918,0.000414739
4/18/2019,1861.69,3.269907366,-0.000729552
4/22/2019,1887.31,3.275843241,0.005935875
4/23/2019,1923.77,3.284153148,0.008309907
4/24/2019,1901.75,3.279153425,-0.004999723
4/25/2019,1902.25,3.279267593,0.000114168
4/26/2019,1950.63,3.290174899,0.010907306
4/29/2019,1938.43,3.287450123,-0.002724777
4/30/2019,1926.52,3.284773522,-0.002676601
5/1/2019,1911.52,3.281378846,-0.003394676
5/2/2019,1900.82,3.278940993,-0.002437853
5/3/2019,1962.46,3.292800813,0.013859821
5/6/2019,1950.55,3.290157087,-0.002643726
5/7/2019,1921,3.283527365,-0.006629723
5/8/2019,1917.77,3.282796521,-0.000730844
5/9/2019,1899.87,3.278723885,-0.004072636
5/10/2019,1889.98,3.276457208,-0.002266677
5/13/2019,1822.68,3.260710428,-0.01574678
5/14/2019,1840.12,3.264846146,0.004135717
5/15/2019,1871.15,3.272108604,0.007262458
5/16/2019,1907.57,3.280480484,0.00837188
5/17/2019,1869,3.271609301,-0.008871182
5/20/2019,1858.97,3.269272381,-0.00233692
5/21/2019,1857.52,3.268933499,-0.000338883
5/22/2019,1859.68,3.26943822,0.000504722
5/23/2019,1815.48,3.258991469,-0.010446752
5/24/2019,1823.28,3.260853368,0.001861899
5/28/2019,1836.43,3.263974379,0.003121011
5/29/2019,1819.19,3.25987806,-0.004096319
5/30/2019,1816.32,3.259192365,-0.000685695
5/31/2019,1775.07,3.249215484,-0.009976881
6/3/2019,1692.69,3.228577429,-0.020638056
6/4/2019,1729.56,3.237935633,0.009358204
6/5/2019,1738.5,3.240174695,0.002239062
6/6/2019,1754.36,3.244118717,0.003944022
6/7/2019,1804.03,3.256243755,0.012125039
6/10/2019,1860.63,3.269660019,0.013416264
6/11/2019,1863.7,3.270376005,0.000715986
6/12/2019,1855.32,3.268418826,-0.001957179
6/13/2019,1870.3,3.271911274,0.003492448
6/14/2019,1869.67,3.27176496,-0.000146314
6/17/2019,1886.03,3.275548597,0.003783637
6/18/2019,1901.37,3.279066637,0.003518041
6/19/2019,1908.79,3.280758151,0.001691514
6/20/2019,1918.19,3.282891623,0.002133471
6/21/2019,1911.3,3.28132886,-0.001562763
6/24/2019,1913.9,3.281919242,0.000590383
6/25/2019,1878.27,3.273758022,-0.00816122
6/26/2019,1897.83,3.278257307,0.004499286
6/27/2019,1904.28,3.279730806,0.001473499
6/28/2019,1893.63,3.277295125,-0.002435681
7/1/2019,1922.19,3.283796314,0.006501188
7/2/2019,1934.31,3.286526077,0.002729763
7/3/2019,1939,3.287577809,0.001051732
7/5/2019,1942.91,3.288452684,0.000874874
7/8/2019,1952.32,3.290551003,0.00209832
7/9/2019,1988.3,3.298481913,0.007930909
7/10/2019,2017.41,3.304794169,0.006312257
7/11/2019,2001.07,3.301262281,-0.003531888
7/12/2019,2011,3.303412071,0.00214979
7/15/2019,2020.99,3.305564165,0.002152094
7/16/2019,2009.9,3.30317445,-0.002389714
7/17/2019,1992.03,3.299295875,-0.003878576
7/18/2019,1977.9,3.29620433,-0.003091544
7/19/2019,1964.52,3.293256455,-0.002947876
7/22/2019,1985.63,3.297898326,0.004641871
7/23/2019,1994.49,3.299831863,0.001933537
7/24/2019,2000.81,3.301205849,0.001373986
7/25/2019,1973.82,3.295307545,-0.005898304
7/26/2019,1943.05,3.288483976,-0.006823569
7/29/2019,1912.45,3.28159009,-0.006893887
7/30/2019,1898.53,3.278417464,-0.003172625
7/31/2019,1866.78,3.271093139,-0.007324325
8/1/2019,1855.32,3.268418826,-0.002674313
8/2/2019,1823.24,3.26084384,-0.007574986
8/5/2019,1765.13,3.246776696,-0.014067144
8/6/2019,1787.83,3.252326221,0.005549524
8/7/2019,1793.4,3.253677165,0.001350945
8/8/2019,1832.89,3.263136402,0.009459236
8/9/2019,1807.58,3.257097527,-0.006038874
8/12/2019,1784.92,3.251618756,-0.005478772
8/13/2019,1824.34,3.26110578,0.009487025
8/14/2019,1762.96,3.246242459,-0.014863322
8/15/2019,1776.12,3.249472305,0.003229846
8/16/2019,1792.57,3.253476124,0.004003819
8/19/2019,1816.12,3.259144541,0.005668417
8/20/2019,1801.38,3.255605337,-0.003539204
8/21/2019,1823.54,3.260915294,0.005309958
8/22/2019,1805.6,3.256621546,-0.004293748
8/23/2019,1749.62,3.242943735,-0.013677812
8/26/2019,1768.87,3.247695916,0.004752182
8/27/2019,1761.83,3.245964001,-0.001731916
8/28/2019,1764.25,3.246560126,0.000596125
8/29/2019,1786.4,3.25197871,0.005418584
8/30/2019,1776.29,3.249513871,-0.002464839
9/3/2019,1789.84,3.25281421,0.003300339
