Data,Zamkniecie,logprices,logrates
6/15/2018,1159.27,3.064184597,-0.000314573
6/18/2018,1183.58,3.073197618,0.009013021
6/19/2018,1178.69,3.071399599,-0.001798019
6/20/2018,1184.07,3.073377378,0.001977779
6/21/2018,1169.44,3.067977945,-0.005399433
6/22/2018,1169.29,3.067922236,-5.5709E-05
6/25/2018,1139.28,3.056630473,-0.011291762
6/26/2018,1132.62,3.054084226,-0.002546247
6/27/2018,1116.94,3.048029844,-0.006054382
6/28/2018,1126.78,3.05183913,0.003809286
6/29/2018,1129.19,3.052767023,0.000927894
7/2/2018,1142.11,3.057707934,0.004940911
7/3/2018,1116.28,3.047773144,-0.00993479
7/5/2018,1141.29,3.057396012,0.009622868
7/6/2018,1155.08,3.062612064,0.005216052
7/9/2018,1167.28,3.067175044,0.00456298
7/10/2018,1167.14,3.067122953,-5.20911E-05
7/11/2018,1171.46,3.068727464,0.001604511
7/12/2018,1201.26,3.079637016,0.010909552
7/13/2018,1204.42,3.080777959,0.001140943
7/16/2018,1196.51,3.077916333,-0.002861626
7/17/2018,1213.08,3.083889443,0.00597311
7/18/2018,1212.91,3.083828577,-6.08659E-05
7/19/2018,1199.1,3.078855403,-0.004973174
7/20/2018,1197.88,3.078413314,-0.000442089
7/23/2018,1211,3.083144143,0.004730829
7/24/2018,1258.15,3.099732422,0.016588279
7/25/2018,1275.94,3.105830253,0.006097831
7/26/2018,1285.5,3.109072081,0.003241828
7/27/2018,1252.89,3.097912943,-0.011159138
7/30/2018,1230.04,3.089919235,-0.007993708
7/31/2018,1227.22,3.088922424,-0.00099681
8/1/2018,1232.99,3.090959554,0.00203713
8/2/2018,1241.13,3.093817273,0.002857719
8/3/2018,1238.16,3.09277677,-0.001040504
8/6/2018,1237.67,3.092604864,-0.000171905
8/7/2018,1255.84,3.098934312,0.006329448
8/8/2018,1261.33,3.100828725,0.001894414
8/9/2018,1264.46,3.101905095,0.00107637
8/10/2018,1252.51,3.097781202,-0.004123893
8/13/2018,1248.64,3.096437243,-0.001343959
8/14/2018,1258.14,3.09972897,0.003291727
8/15/2018,1232.22,3.090688253,-0.009040717
8/16/2018,1224.06,3.087802706,-0.002885547
8/17/2018,1215.85,3.084879999,-0.002922707
